freq,indic_is,unit,geo,year,value_raw,value,indic_is_label,unit_label,geo_label,nuts1_name,country_code,nuts_level
A,I_DSK2_AB,PC_IND_IU3,ES5,2025,42.59 ,42.59,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Este,Este,ES,1
A,I_DSK2_AB,PC_IND_IU3,ES6,2025,37.45 ,37.45,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Sur,Sur,ES,1
A,I_DSK2_AB,PC_IND_IU3,ES7,2025,37.74 ,37.74,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Canarias,Canarias,ES,1
A,I_DSK2_AB,PC_IND_IU3,FR1,2025,42.53 u,42.53,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Ile de France,Ile-de-France,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRB,2025,36.00 u,36.0,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Centre — Val de Loire,Centre — Val de Loire,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRC,2025,27.56 u,27.56,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRD,2025,34.90 u,34.9,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Normandie,Normandie,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRE,2025,32.95 u,32.95,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Hauts-de-France,Hauts-de-France,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRF,2025,33.01 u,33.01,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Grand Est,Grand Est,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRG,2025,38.91 u,38.91,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Pays de la Loire,Pays de la Loire,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRH,2025,37.19 u,37.19,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bretagne,Bretagne,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRI,2025,34.90 u,34.9,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Nouvelle-Aquitaine,Nouvelle-Aquitaine,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRJ,2025,36.41 u,36.41,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Occitanie,Occitanie,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRK,2025,39.64 u,39.64,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRL,2025,35.48 u,35.48,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRM,2025,41.73 u,41.73,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Corse,Corse,FR,1
A,I_DSK2_AB,PC_IND_IU3,FRY,2025,32.13 u,32.13,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,RUP FR — Régions Ultrapériphériques Françaises,RUP FR — Régions Ultrapériphériques Françaises,FR,1
