freq,indic_is,unit,geo,year,value_raw,value
A,I_DSK2_B,PC_IND,TR7,2025,16.11 ,16.11
A,I_DSK2_B,PC_IND,TR8,2025,16.81 ,16.81
A,I_DSK2_B,PC_IND,TR9,2025,18.58 ,18.58
A,I_DSK2_B,PC_IND,TRA,2025,13.41 ,13.41
A,I_DSK2_B,PC_IND,TRB,2025,14.68 ,14.68
A,I_DSK2_B,PC_IND,TRC,2025,15.04 ,15.04
A,I_DSK2_B,PC_IND,XK,2025,66.44 ,66.44
A,I_DSK2_B,PC_IND_IU3,AL,2025,22.45 ,22.45
A,I_DSK2_B,PC_IND_IU3,AT,2025,37.27 ,37.27
A,I_DSK2_B,PC_IND_IU3,AT1,2025,34.99 ,34.99
A,I_DSK2_B,PC_IND_IU3,AT2,2025,41.01 ,41.01
A,I_DSK2_B,PC_IND_IU3,AT3,2025,38.09 ,38.09
A,I_DSK2_B,PC_IND_IU3,BA,2025,29.41 ,29.41
A,I_DSK2_B,PC_IND_IU3,BE,2025,32.69 ,32.69
A,I_DSK2_B,PC_IND_IU3,BE1,2025,31.07 ,31.07
A,I_DSK2_B,PC_IND_IU3,BE2,2025,32.60 ,32.6
A,I_DSK2_B,PC_IND_IU3,BE3,2025,33.38 ,33.38
A,I_DSK2_B,PC_IND_IU3,BG,2025,30.50 ,30.5
A,I_DSK2_B,PC_IND_IU3,BG3,2025,28.25 ,28.25
A,I_DSK2_B,PC_IND_IU3,BG4,2025,32.53 ,32.53
A,I_DSK2_B,PC_IND_IU3,CH,2025,32.90 ,32.9
A,I_DSK2_B,PC_IND_IU3,CY,2025,39.98 ,39.98
A,I_DSK2_B,PC_IND_IU3,CZ,2025,35.03 ,35.03
