rank,geo,country,nuts1_name,ai_literacy_gap_index,baseline_score,pillars_available,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,cluster_id,cluster_label
49,HU2,Hungary,Dunántúl,0.4157477433501054,0.4141844202092796,6,0.543904958677686,0.1538896144025291,0.174484052532833,0.8594594594594595,0.1725146198830409,0.5808538163001293,1,Ageing Workforce
50,DE2,Germany,Bayern,0.4123518983949165,0.4093298431289154,6,0.6451446280991735,0.1690269274805232,0.1425891181988742,0.8675675675675676,0.0760233918128655,0.555627425614489,0,Low Digital Skills
51,FRI,France,Nouvelle-Aquitaine,0.4102917902603794,0.4181536045779665,6,0.3397038567493113,0.2775570274014763,0.1782363977485928,0.6405405405405405,0.2397660818713451,0.8331177231565331,1,Ageing Workforce
52,PL4,Poland,Makroregion północno-zachodni,0.4102153210720541,0.4060549594897551,6,0.6294765840220385,0.1688008550313372,0.0412757973733583,0.9216216216216216,0.1842105263157895,0.4909443725743854,0,Low Digital Skills
53,ES2,Spain,Noreste,0.4082404992763815,0.4115659457436165,6,0.3285123966942148,0.1974781308548385,0.4315196998123827,0.6081081081081081,0.2485380116959064,0.6552393272962485,1,Ageing Workforce
54,ITH,Italy,Nord-Est,0.4068350915208099,0.4105117653051746,6,0.4385330578512396,0.0160331287824585,0.4784240150093808,0.7324324324324325,0.0233918128654971,0.7742561448900389,1,Ageing Workforce
55,DE6,Germany,Hamburg,0.4014121609116004,0.3933495704783338,6,0.3870523415977962,0.4252369022095754,0.2120075046904314,0.7810810810810811,0.2280701754385965,0.3266494178525226,3,Broadly Resilient
56,PL2,Poland,Makroregion południowy,0.3964285257210543,0.3961035544377901,5,0.537362258953168,0.0445155333822858,0.0093808630393996,0.8756756756756756,,0.5135834411384217,3,Broadly Resilient
57,DE3,Germany,Berlin,0.3963287442449788,0.3903333953062315,6,0.2744490358126721,0.4448716853011851,0.2195121951219512,0.7675675675675675,0.2339181286549708,0.4016817593790426,3,Broadly Resilient
58,PL5,Poland,Makroregion południowo-zachodni,0.3810429042365318,0.3828917507582374,6,0.5426997245179064,0.0167277777303612,0.0318949343339587,0.8162162162162162,0.3070175438596491,0.5827943078913325,3,Broadly Resilient
59,FRB,France,Centre — Val de Loire,0.3733321719361582,0.3791926550351234,6,0.3829201101928373,0.1405325473812343,0.1819887429643527,0.6513513513513514,0.1842105263157895,0.7341526520051747,1,Ageing Workforce
60,EE0,Estonia,Eesti,0.3727948639116236,0.3767312340391043,6,0.3899793388429751,0.359787625237543,0.1313320825515947,0.4459459459459459,0.4210526315789474,0.5122897800776197,4,Low-Skill Unemployment
61,DE1,Germany,Baden-Württemberg,0.3722411845930647,0.3693213387323034,6,0.3106060606060608,0.2401913342265502,0.2045028142589118,0.8351351351351352,0.0730994152046783,0.552393272962484,3,Broadly Resilient
62,AT2,Austria,Südösterreich,0.3717507556452362,0.3745825215886681,6,0.2698002754820937,0.2881834345243966,0.1444652908067542,0.664864864864865,0.2514619883040936,0.628719275549806,3,Broadly Resilient
63,FRG,France,Pays de la Loire,0.3676524789021017,0.3716458111504325,6,0.309573002754821,0.160167330472844,0.2045028142589118,0.6351351351351351,0.2982456140350878,0.6222509702457956,3,Broadly Resilient
64,ES3,Spain,Comunidad de Madrid,0.3670904099634995,0.3627944328680657,6,0.2279614325068869,0.2812484928711039,0.424015009380863,0.6351351351351351,0.2280701754385965,0.3803363518758086,3,Broadly Resilient
65,SE3,Sweden,Norra Sverige,0.3647995005781736,0.3820521118482907,6,0.3140495867768594,0.2439973538763247,0.1313320825515947,0.1567567567567568,0.6842105263157895,0.7619663648124192,4,Low-Skill Unemployment
66,AT1,Austria,Ostösterreich,0.3630711640967747,0.3610927420536447,6,0.2499999999999999,0.3487273445194642,0.2045028142589118,0.618918918918919,0.3362573099415205,0.4081500646830531,3,Broadly Resilient
67,FRK,France,Auvergne-Rhône-Alpes,0.3629035109005576,0.3649142556780056,6,0.2728994490358128,0.2592595789438266,0.172607879924953,0.6243243243243244,0.3099415204678363,0.5504527813712807,3,Broadly Resilient
68,FRH,France,Bretagne,0.3565216213886524,0.3636628136833896,6,0.2982093663911846,0.1307151558354295,0.1069418386491557,0.654054054054054,0.2456140350877193,0.7464424320827944,1,Ageing Workforce
69,SI0,Slovenia,Slovenija,0.3514002060315532,0.3558978141804713,6,0.6658057851239669,0.1537625035744078,0.1369606003752345,0.472972972972973,0.1140350877192982,0.5918499353169471,3,Broadly Resilient
70,CY0,Cyprus,Kýpros,0.3487644225732652,0.341768709049655,6,0.5065426997245179,0.2059818243532668,0.1819887429643527,0.7648648648648648,0.0497076023391813,0.3415265200517464,3,Broadly Resilient
71,MT0,Malta,Malta,0.3403829214169058,0.3346256422980407,6,0.3162878787878789,0.281248492871104,0.50093808630394,0.5567567567567568,0.0,0.3525226390685641,3,Broadly Resilient
72,FR1,France,Ile-de-France,0.322073762289898,0.3155643164128131,6,0.2424242424242424,0.3303354506001283,0.2176360225140712,0.6027027027027028,0.2777777777777778,0.222509702457956,3,Broadly Resilient
73,BE2,Belgium,Vlaams Gewest,0.3216186669706233,0.3254786351488112,6,0.4127066115702479,0.0211773439629599,0.1688555347091932,0.5810810810810811,0.2076023391812865,0.5614489003880985,3,Broadly Resilient
74,AT3,Austria,Westösterreich,0.3173695975322754,0.3158760763362674,6,0.28116391184573,0.1275045141755088,0.1801125703564727,0.6918918918918919,0.1637426900584795,0.4508408796895214,3,Broadly Resilient
75,FI1,Finland,Manner-Suomi,0.3169829577096727,0.3294951690397589,6,0.0721418732782368,0.192608036311862,0.1425891181988742,0.3297297297297297,0.5555555555555556,0.684346701164295,4,Low-Skill Unemployment
76,LU0,Luxembourg,Luxembourg,0.3166235292961398,0.3076991175278075,6,0.3920454545454545,0.2419789266878846,0.2495309568480299,0.618918918918919,0.1988304093567252,0.1448900388098318,3,Broadly Resilient
77,PL9,Poland,Makroregion województwo mazowieckie,0.315053578660473,0.3148624879516918,5,0.4161501377410469,0.0,0.0,0.7351351351351352,,0.4230271668822769,3,Broadly Resilient
